period	rank	token	count
pre2018	128	res	15
pre2018	129	respectively	15
pre2018	130	zp	15
pre2018	131	line	15
pre2018	132	ray	15
pre2018	133	x	15
pre2018	134	waveform	14
pre2018	135	datum	14
pre2018	136	high	14
pre2018	137	vitro	14
pre2018	138	bone	14
pre2018	139	report	14
pre2018	140	tracer	14
pre2018	141	orthodontic	13
pre2018	142	occur	13
pre2018	143	estimate	13
pre2018	144	tooth	13
pre2018	145	applied	13
pre2018	146	cause	13
pre2018	147	sm	13
pre2018	148	difference	13
pre2018	149	influence	13
pre2018	150	oral	13
pre2018	151	different	13
pre2018	152	type	13
pre2018	153	infrared	13
pre2018	154	co	13
pre2018	155	polarization	13
pre2018	156	smco5	13
pre2018	157	although	13
pre2018	158	ca	12
pre2018	159	reduction	12
pre2018	160	f.	12
pre2018	161	around	12
pre2018	162	obtain	12
pre2018	163	point	12
pre2018	164	product	12
pre2018	165	n	12
pre2018	166	tissue	12
pre2018	167	water	12
pre2018	168	behavior	12
pre2018	169	technique	12
pre2018	170	okuno	12
pre2018	171	medical	11
pre2018	172	n.	11
pre2018	173	doi	11
pre2018	174	system	11
pre2018	175	k	11
pre2018	176	thermal	11
pre2018	177	detect	11
pre2018	178	dent_mater	11
pre2018	179	residual	11
pre2018	180	seem	11
pre2018	181	maximum	11
pre2018	182	form	11
pre2018	183	final	11
pre2018	184	could	11
pre2018	185	body	11
pre2018	186	o.	11
pre2018	187	g	11
pre2018	188	takahashi	11
pre2018	189	spectra	11
pre2018	190	part	11
pre2018	191	measure	11
pre2018	192	diameter	11
pre2018	193	formation	11
pre2018	194	a.	10
pre2018	195	j.	10
pre2018	196	cm2	10
pre2018	197	might	10
pre2018	198	anodic	10
pre2018	199	triangle	10
pre2018	200	condition	10
pre2018	201	concentration	10
pre2018	202	significant	10
pre2018	203	yoneyama	10
pre2018	204	diffraction	10
pre2018	205	b	10
pre2018	206	mean	10
pre2018	207	transform	10
pre2018	208	hole	10
pre2018	209	attachment	10
pre2018	210	mg	10
pre2018	211	elongation	10
pre2018	212	proof	10
pre2018	213	orthod	10
pre2018	214	band	10
pre2018	215	elastic	10
pre2018	216	apparent	10
pre2018	217	preparation	10
pre2018	218	crystal	10
pre2018	219	materials	10
pre2018	220	nakano	10
pre2018	221	ku	9
pre2018	222	soc	9
pre2018	223	glass	9
pre2018	224	assessment	9
pre2018	225	=	9
pre2018	226	maintain	9
pre2018	227	amalgam	9
pre2018	228	even	9
pre2018	229	grade	9
pre2018	230	since	9
pre2018	231	restorative	9
pre2018	232	+	9
pre2018	233	ni-49.2ti	9
pre2018	234	investigate	9
pre2018	235	et	9
pre2018	236	af	9
pre2018	237	value	8
pre2018	238	contain	8
pre2018	239	dissolve	8
pre2018	240	ceramic	8
pre2018	241	hydroxyapatite	8
pre2018	242	resistance	8
pre2018	243	na	8
pre2018	244	loss	8
pre2018	245	ratio	8
pre2018	246	kitsugi	8
pre2018	247	static	8
pre2018	248	similar	8
pre2018	249	sphere	8
pre2018	250	pp	8
pre2018	251	university	8
pre2018	252	various	8
pre2018	253	rod	8
pre2018	254	calcif	8
pre2018	255	enamel	8
pre2018	256	well	8
pre2018	257	find	8
pre2018	258	limit	7
pre2018	259	every	7
pre2018	260	analyze	7
pre2018	261	therefore	7
pre2018	262	ban	7
pre2018	263	hasegawa	7
pre2018	264	lute	7
pre2018	265	consider	7
pre2018	266	reaction	7
pre2018	267	dentistry	7
pre2018	268	department	7
pre2018	269	kuroda	7
pre2018	270	whereas	7
pre2018	271	typical	7
pre2018	272	pattern	7
pre2018	273	fluid	7
pre2018	274	zoe	7
pre2018	275	completely	7
pre2018	276	implant	7
pre2018	277	plate	7
pre2018	278	e.g.	7
pre2018	279	vivo	7
pre2018	280	microleakage	7
pre2018	281	elasticity	7
pre2018	282	niti	7
pre2018	283	wire	7
pre2018	284	magnets	7
pre2018	285	ssu	7
pre2018	286	int	7
pre2018	287	laser	7
pre2018	288	appliance	7
pre2018	289	sealing	7
pre2018	290	circulate	7
pre2018	291	metals	7
pre2018	292	rate	7
pre2018	293	scan	7
pre2018	294	immerse	7
pre2018	295	mineral	7
pre2018	296	cycling	7
pre2018	297	employ	7
pre2018	298	figure	7
pre2018	299	develop	7
pre2018	300	complete	7
pre2018	301	miura	7
pre2018	302	composite	7
pre2018	303	make	7
pre2018	304	cast	7
pre2018	305	due	7
pre2018	306	na2s	7
pre2018	307	magnesium	6
pre2018	308	area	6
pre2018	309	school	6
pre2018	310	human	6
pre2018	311	leak	6
pre2018	312	accept	6
pre2018	313	resin	6
pre2018	314	vardimon	6
pre2018	315	valve	6
pre2018	316	serial	6
pre2018	317	capsule	6
pre2018	318	jinde	6
pre2018	319	research	6
pre2018	320	orthop	6
pre2018	321	dentofac	6
pre2018	322	environment	6
pre2018	323	inlay	6
pre2018	324	put	6
pre2018	325	corp.	6
pre2018	326	$	6
pre2018	327	ionomer	6
pre2018	328	eugenol	6
pre2018	329	machine	6
pre2018	330	period	6
pre2018	331	characteristic	6
pre2018	332	nakamura	6
pre2018	333	nishimura	6
pre2018	334	oxide	6
pre2018	335	acrylic	6
pre2018	336	precipitation	6
pre2018	337	37•ž.	6
pre2018	338	factor	6
pre2018	339	determine	6
pre2018	340	sine	6
pre2018	341	evaluate	6
pre2018	342	tanaka	6
pre2018	343	indicate	6
pre2018	344	brown	6
pre2018	345	demonstrate	6
pre2018	346	detecting	6
pre2018	347	eq	6
pre2018	348	8)	6
pre2018	349	engineering	6
pre2018	350	unload	6
pre2018	351	know	6
pre2018	352	among	6
pre2018	353	journal	5
pre2018	354	field	5
pre2018	355	prosthesis	5
pre2018	356	relatively	5
pre2018	357	crystallinity	5
pre2018	358	within	5
pre2018	359	introduction	5
pre2018	360	37•ž	5
pre2018	361	cv	5
pre2018	362	thickness	5
pre2018	363	potential	5
pre2018	364	procedure	5
pre2018	365	hand	5
pre2018	366	w.e.	5
pre2018	367	ishihata	5
pre2018	368	mizutani	5
pre2018	369	little	5
pre2018	370	close	5
pre2018	371	slight	5
pre2018	372	suggest	5
pre2018	373	discussion	5
pre2018	374	dynamic	5
pre2018	375	brittle	5
pre2018	376	variance	5
pre2018	377	propagate	5
pre2018	378	square	5
pre2018	379	ai	5
pre2018	380	support	5
pre2018	381	addition	5
pre2018	382	compare	5
pre2018	383	edge	5
pre2018	384	mg2	5
pre2018	385	watari	5
pre2018	386	muscle	5
pre2018	387	distilled	5
pre2018	388	diagram	5
pre2018	389	g.	5
pre2018	390	c	5
pre2018	391	edx	5
pre2018	392	dry	5
pre2018	393	ltd.	5
pre2018	394	see	5
pre2018	395	methods	5
pre2018	396	spectrum	5
pre2018	397	po4	5
pre2018	398	relation	5
pre2018	399	cell	5
pre2018	400	restore	5
pre2018	401	formula	5
pre2018	402	ed	5
pre2018	403	development	5
pre2018	404	a.d.	5
pre2018	405	constant	5
pre2018	406	gap	5
pre2018	407	long	5
pre2018	408	monitoring	5
pre2018	409	word	5
pre2018	410	key	5
pre2018	411	characterize	5
pre2018	412	free	5
pre2018	413	select	5
pre2018	414	break	5
pre2018	415	possible	5
pre2018	416	electron	5
pre2018	417	absorption	5
pre2018	418	linear	5
pre2018	419	ha	5
pre2018	420	s-90	5
pre2018	421	october	5
pre2018	422	okazaki	5
pre2018	423	receive	5
pre2018	424	science	5
pre2018	425	present	5
pre2018	426	jpn	5
pre2018	427	arch	5
pre2018	428	martensitic	4
pre2018	429	greenwood	4
pre2018	430	examine	4
pre2018	431	derkson	4
pre2018	432	transactions	4
pre2018	433	49.2at%	4
pre2018	434	holder	4
pre2018	435	nb	4
pre2018	436	ml	4
pre2018	437	expect	4
pre2018	438	weld	4
pre2018	439	spectroscopy	4
pre2018	440	retard	4
pre2018	441	reveal	4
pre2018	442	quantitative	4
pre2018	443	control	4
pre2018	444	substitution	4
pre2018	445	dentin	4
pre2018	446	great	4
pre2018	447	necessary	4
pre2018	448	require	4
pre2018	449	prosthet	4
pre2018	450	references	4
pre2018	451	na2s.	4
pre2018	452	co.	4
pre2018	453	destroy	4
pre2018	454	reason	4
pre2018	455	remove	4
pre2018	456	protein	4
pre2018	457	left	4
pre2018	458	approximately	4
pre2018	459	l.r.	4
pre2018	460	voss	4
pre2018	461	t.m.	4
pre2018	462	graber	4
pre2018	463	kyoto	4
pre2018	464	nickel	4
pre2018	465	mat	4
pre2018	466	special	4
pre2018	467	introduce	4
pre2018	468	pmma	4
pre2018	469	4g	4
pre2018	470	almost	4
pre2018	471	follow	4
pre2018	472	coefficient	4
pre2018	473	sample	4
pre2018	474	less	4
pre2018	475	thus	4
pre2018	476	short	4
pre2018	477	slightly	4
pre2018	478	2hz	4
pre2018	479	gc	4
pre2018	480	minimum	4
pre2018	481	embed	4
pre2018	482	paper	4
pre2018	483	weigh	4
pre2018	484	electrode	4
pre2018	485	argon	4
pre2018	486	start	4
pre2018	487	observation	4
pre2018	488	cross	4
pre2018	489	terminal	4
pre2018	490	directly	4
pre2018	491	20ml	4
pre2018	492	fill	4
pre2018	493	vial	4
pre2018	494	acetone	4
pre2018	495	keep	4
pre2018	496	pure	4
pre2018	497	chemical	4
pre2018	498	press	4
pre2018	499	loading	4
pre2018	500	society	4
pre2018	501	fe	4
pre2018	502	energy	4
pre2018	503	hitachi	4
pre2018	504	1hz	4
pre2018	505	harashima	4
pre2018	506	sealability	4
pre2018	507	describe	4
pre2018	508	tsutsui	4
pre2018	509	corrode	4
pre2018	510	easy	4
pre2018	511	experiment	4
pre2018	512	term	4
pre2018	513	post	4
pre2018	514	initiate	4
pre2018	515	solenoid	4
pre2018	516	clamp	4
pre2018	517	base	4
pre2018	518	durability	4
pre2018	519	hirasawa	4
pre2018	520	uzawa	4
pre2018	521	ni-49.0ti	4
pre2018	522	refer	4
pre2018	523	hereafter	4
pre2018	524	would	4
pre2018	525	dcpd	4
pre2018	526	include	4
pre2018	527	kimura	4
pre2018	528	ms	4
pre2018	529	ingot	4
pre2018	530	institute	4
pre2018	531	july	4
pre2018	532	deformation	4
pre2018	533	impurity	4
pre2018	534	sponge	4
pre2018	535	difficult	4
pre2018	536	sem	4
pre2018	537	right	4
pre2018	538	ti合	3
pre2018	539	furuta	3
pre2018	540	reverse	3
pre2018	541	statistical	3
pre2018	542	suzuki	3
pre2018	543	purpose	3
pre2018	544	310k.	3
pre2018	545	figs	3
pre2018	546	process	3
pre2018	547	congress	3
pre2018	548	spectrometer	3
pre2018	549	monitor	3
pre2018	550	rhodamine	3
pre2018	551	cavity	3
pre2018	552	superior	3
pre2018	553	capability	3
pre2018	554	extent	3
pre2018	555	important	3
pre2018	556	empirical	3
pre2018	557	failure	3
pre2018	558	international	3
pre2018	559	rubber	3
pre2018	560	silicone	3
pre2018	561	plastic	3
pre2018	562	improvement	3
pre2018	563	biomaterials	3
pre2018	564	physiological	3
pre2018	565	surgery	3
pre2018	566	60•ž	3
pre2018	567	suspension	3
pre2018	568	microscopy	3
pre2018	569	medium	3
pre2018	570	pouch	3
pre2018	571	furthermore	3
pre2018	572	scanning	3
pre2018	573	gelatin	3
pre2018	574	diffractometry	3
pre2018	575	simulated	3
pre2018	576	evaluation	3
pre2018	577	partition	3
pre2018	578	tsurumi	3
pre2018	579	previous	3
pre2018	580	many	3
pre2018	581	apparatus	3
pre2018	582	core	3
pre2018	583	photoelastic	3
pre2018	584	act	3
pre2018	585	investigation	3
pre2018	586	detection	3
pre2018	587	frequency	3
pre2018	588	e.	3
pre2018	589	micrographs	3
pre2018	590	ii	3
pre2018	591	expansion	3
pre2018	592	kinouchi	3
pre2018	593	iii	3
pre2018	594	stability	3
pre2018	595	weak	3
pre2018	596	may	3
pre2018	597	rupture	3
pre2018	598	express	3
pre2018	599	nd	3
pre2018	600	nakajima	3
pre2018	601	speed	3
pre2018	602	luting	3
pre2018	603	usual	3
pre2018	604	way	3
pre2018	605	nfs	3
pre2018	606	ncs	3
pre2018	607	regard	3
pre2018	608	range	3
pre2018	609	sectional	3
pre2018	610	conventional	3
pre2018	611	significantly	3
pre2018	612	either	3
pre2018	613	equipment	3
pre2018	614	cleaning	3
pre2018	615	ultrasonic	3
pre2018	616	cylinder	3
pre2018	617	affect	3
pre2018	618	micro	3
pre2018	619	bath	3
pre2018	620	fractured	3
pre2018	621	mount	3
pre2018	622	unit	3
pre2018	623	h.j.	3
pre2018	624	clinical	3
pre2018	625	inorganic	3
pre2018	626	nearly	3
pre2018	627	amide	3
pre2018	628	group	3
pre2018	629	ca2	3
pre2018	630	like	3
pre2018	631	particle	3
pre2018	632	position	3
pre2018	633	give	3
pre2018	634	37•}0.5•ž	3
pre2018	635	kind	3
pre2018	636	model	3
pre2018	637	average	3
pre2018	638	plasma	3
pre2018	639	actual	3
pre2018	640	record	3
pre2018	641	carry	3
pre2018	642	reference	3
pre2018	643	torsional	3
pre2018	644	design	3
pre2018	645	repeat	3
pre2018	646	culture	3
pre2018	647	education	3
pre2018	648	ministry	3
pre2018	649	scientific	3
pre2018	650	aid	3
pre2018	651	grant	3
pre2018	652	hermetically	3
pre2018	653	strongly	3
pre2018	654	action	3
pre2018	655	several	3
pre2018	656	metal	3
pre2018	657	conclusion	3
pre2018	658	prosthodont	3
pre2018	659	ferromagnetic	3
pre2018	660	retention	3
pre2018	661	lose	3
pre2018	662	become	3
pre2018	663	welding	3
pre2018	664	joint	3
pre2018	665	considerable	3
pre2018	666	acid•	3
pre2018	667	easily	3
pre2018	668	detectable	3
pre2018	669	tap	3
pre2018	670	remain	3
pre2018	671	preliminary	3
pre2018	672	legeros	3
pre2018	673	j.p.	3
pre2018	674	s.l.	3
pre2018	675	biophys	3
pre2018	676	biochem	3
pre2018	677	take	3
pre2018	678	recover	3
pre2018	679	nevertheless	3
pre2018	680	somewhat	3
pre2018	681	deficient	3
pre2018	682	comparison	3
pre2018	683	clear	3
pre2018	684	bioactive	3
pre2018	685	calculate	3
pre2018	686	characterization	3
pre2018	687	atmosphere	3
pre2018	688	electrical	3
pre2018	689	co32-	3
pre2018	690	dsc	3
pre2018	691	differential	3
pre2018	692	castings	3
pre2018	693	s-95	3
pre2018	694	cool	3
pre2018	695	cn	3
pre2018	696	induce	3
pre2018	697	growth	3
pre2018	698	problem	3
pre2018	699	chiyoda	3
pre2018	700	metallurgy	3
pre2018	701	division	3
pre2018	702	melt	3
pre2018	703	sensitive	3
pre2018	704	heat	2
pre2018	705	arc	2
pre2018	706	aim	2
pre2018	707	bend	2
pre2018	708	useful	2
pre2018	709	removable	2
pre2018	710	intermaxillary	2
pre2018	711	penile	2
pre2018	712	surugadai	2
pre2018	713	kanda	2
pre2018	714	yushima	2
pre2018	715	takayuki	2
pre2018	716	hitoshi	2
pre2018	717	think	2
pre2018	718	convert	2
pre2018	719	dihydrate	2
pre2018	720	dicalcium	2
pre2018	721	ph	2
pre2018	722	normal	2
pre2018	723	biological	2
pre2018	724	precursor	2
pre2018	725	presume	2
pre2018	726	crystalline	2
pre2018	727	pathological	2
pre2018	728	univ	2
pre2018	729	gakuin	2
pre2018	730	aichi	2
pre2018	731	ア	2
pre2018	732	surg	2
pre2018	733	rehabil	2
pre2018	734	l.d.	2
pre2018	735	silver	2
pre2018	736	powder	2
pre2018	737	identify	2
pre2018	738	dried	2
pre2018	739	precipitate	2
pre2018	740	caco3	2
pre2018	741	dispersive	2
pre2018	742	synthesize	2
pre2018	743	thigh	2
pre2018	744	sometimes	2
pre2018	745	co3	2
pre2018	746	ir	2
pre2018	747	apatic	2
pre2018	748	microscopic	2
pre2018	749	ddy	2
pre2018	750	8hr	2
pre2018	751	binder	2
pre2018	752	al.18	2
pre2018	753	electrochemical	2
pre2018	754	al.16	2
pre2018	755	construct	2
pre2018	756	yokohama	2
pre2018	757	し	2
pre2018	758	試	2
pre2018	759	ス	2
pre2018	760	b.n.	2
pre2018	761	bachara	2
pre2018	762	r.z.	2
pre2018	763	l.c.	2
pre2018	764	chow	2
pre2018	765	c.	2
pre2018	766	j.r.	2
pre2018	767	represent	2
pre2018	768	biomed	2
pre2018	769	yamamuro	2
pre2018	770	sakka	2
pre2018	771	kokubo	2
pre2018	772	spontaneous	2
pre2018	773	simon	2
pre2018	774	o.r.	2
pre2018	775	trautz	2
pre2018	776	fast	2
pre2018	777	achieve	2
pre2018	778	liquid	2
pre2018	779	poor	2
pre2018	780	d.r.	2
pre2018	781	r.a.	2
pre2018	782	d.w.	2
pre2018	783	biol	2
pre2018	784	whitlockite	2
pre2018	785	amorphous	2
pre2018	786	incorporation	2
pre2018	787	gas	2
pre2018	788	dissolution	2
pre2018	789	greatly	2
pre2018	790	cr	2
pre2018	791	hundred	2
pre2018	792	average•}s	2
pre2018	793	half	2
pre2018	794	gradually	2
pre2018	795	depict	2
pre2018	796	yoke	2
pre2018	797	blechman	2
pre2018	798	retainer	2
pre2018	799	fundamental	2
pre2018	800	ceram	2
pre2018	801	fl	2
pre2018	802	raton	2
pre2018	803	boca	2
pre2018	804	crc	2
pre2018	805	f.c.m.	2
pre2018	806	driessens	2
pre2018	807	.d.	2
pre2018	808	drill	2
pre2018	809	transparent	2
pre2018	810	showa	2
pre2018	811	fumio	2
pre2018	812	また	2
pre2018	813	nacl溶	2
pre2018	814	bull	2
pre2018	815	aqueous	2
pre2018	816	na2sƒ¢	2
pre2018	817	hcl•ž	2
pre2018	818	nacl•œ	2
pre2018	819	solutions.•›	2
pre2018	820	early	2
pre2018	821	quickly	2
pre2018	822	list	2
pre2018	823	live	2
pre2018	824	leave	2
pre2018	825	reach	2
pre2018	826	icp	2
pre2018	827	emission	2
pre2018	828	couple	2
pre2018	829	exchange	2
pre2018	830	instron	2
pre2018	831	elite	2
pre2018	832	especially	2
pre2018	833	structural	2
pre2018	834	must	2
pre2018	835	chew	2
pre2018	836	regardless	2
pre2018	837	improve	2
pre2018	838	electrolytic	2
pre2018	839	basis	2
pre2018	840	prosthetic	2
pre2018	841	severe	2
pre2018	842	produce	2
pre2018	843	deposit	2
pre2018	844	mineralization	2
pre2018	845	kani	2
pre2018	846	length	2
pre2018	847	commercial	2
pre2018	848	prosthodontic	2
pre2018	849	overdenture	2
pre2018	850	r.d.	2
pre2018	851	gilling	2
pre2018	852	deep	2
pre2018	853	author	2
pre2018	854	acknowledgement	2
pre2018	855	ordinary	2
pre2018	856	jig	2
pre2018	857	universal	2
pre2018	858	hour	2
pre2018	859	perform	2
pre2018	860	laboratory	2
pre2018	861	l	2
pre2018	862	insert	2
pre2018	863	tapped	2
pre2018	864	cm-1	2
pre2018	865	hopo3	2
pre2018	866	peak	2
pre2018	867	treatment	2
pre2018	868	e.l.	2
pre2018	869	a.m.	2
pre2018	870	40mpa	2
pre2018	871	vary	2
pre2018	872	cl-	2
pre2018	873	na+	2
pre2018	874	jcpds	2
pre2018	875	conclude	2
pre2018	876	needle	2
pre2018	877	surround	2
pre2018	878	organic	2
pre2018	879	cl	2
pre2018	880	0.6mpa	2
pre2018	881	5mpa	2
pre2018	882	immediately	2
pre2018	883	leg	2
pre2018	884	resemble	2
pre2018	885	buffer	2
pre2018	886	reagent	2
pre2018	887	blood	2
pre2018	888	consequently	2
pre2018	889	compressive	2
pre2018	890	favorable	2
pre2018	891	人	2
pre2018	892	℃	2
pre2018	893	こ	2
pre2018	894	石およびsmco5磁	2
pre2018	895	本号掲載論文の和文抄録	2
pre2018	896	hicorex	2
pre2018	897	reduce	2
pre2018	898	strong	2
pre2018	899	hashimoto	2
pre2018	900	okabe	2
pre2018	901	american	2
pre2018	902	handbook	2
pre2018	903	edit	2
pre2018	904	varied	2
pre2018	905	other	2
pre2018	906	anova	2
pre2018	907	summarize	2
pre2018	908	striation	2
pre2018	909	obvious	2
pre2018	910	laterally	2
pre2018	911	min	2
pre2018	912	clean	2
pre2018	913	rinse	2
pre2018	914	•ž	2
pre2018	915	wash	2
pre2018	916	internal	2
pre2018	917	deviation	2
pre2018	918	standard	2
pre2018	919	respect	2
pre2018	920	equation	2
pre2018	921	experimental	2
pre2018	922	example	2
pre2018	923	agree	2
pre2018	924	precrack	2
pre2018	925	tendency	2
pre2018	926	concern	2
pre2018	927	information	2
pre2018	928	blade	2
pre2018	929	possibly	2
pre2018	930	center	2
pre2018	931	usa	2
pre2018	932	mainly	2
pre2018	933	usually	2
pre2018	934	accord	2
pre2018	935	parameter	2
pre2018	936	operandi	2
pre2018	937	modus	2
pre2018	938	foma	2
pre2018	939	orthopedic	2
pre2018	940	functional	2
pre2018	941	versus	2
pre2018	942	visible	2
pre2018	943	width	2
pre2018	944	yamada	2
pre2018	945	closed	2
pre2018	946	therapy	2
pre2018	947	d.	2
pre2018	948	ushita	2
pre2018	949	fix	2
pre2018	950	r.	2
pre2018	951	v.	2
pre2018	952	manner	2
pre2018	953	recognize	2
pre2018	954	biomater	2
pre2018	955	tomitsuka	2
pre2018	956	fixation	2
pre2018	957	miyazaki	2
pre2018	958	otsuka	2
pre2018	959	display	2
pre2018	960	cavosurface	2
pre2018	961	another	2
pre2018	962	chamber	2
pre2018	963	tentative	2
pre2018	964	hysteresis	2
pre2018	965	associate	2
pre2018	966	deterioration	2
pre2018	967	appear	2
pre2018	968	review	2
pre2018	969	periodically	2
pre2018	970	effective	2
pre2018	971	attempt	2
pre2018	972	osaka	2
pre2018	973	diffusion	2
pre2018	974	powis	2
pre2018	975	pressure	2
pre2018	976	mode	2
pre2018	977	symposium	2
pre2018	978	sandwich	2
pre2018	979	confirm	2
pre2018	980	disc	2
pre2018	981	devise	2
pre2018	982	acceptable	2
pre2018	983	size	2
pre2018	984	calorimetry	2
pre2018	985	meeting	2
pre2018	986	hydrolysis	2
pre2018	987	fluoride	2
pre2018	988	accelerate	2
pre2018	989	equilibrium	2
pre2018	990	physiochemical	2
pre2018	991	po43-	2
pre2018	992	judge	2
pre2018	993	conduct	2
pre2018	994	ando	2
pre2018	995	pump	2
pre2018	996	drawing	2
pre2018	997	schematic	2
pre2018	998	side	2
pre2018	999	margin	2
pre2018	1000	kim	2
pre2018	1001	fluorescence	2
pre2018	1002	presence	2
pre2018	1003	1•~10	2
pre2018	1004	heating	2
pre2018	1005	second	2
pre2018	1006	flow	2
pre2018	1007	validity	2
pre2018	1008	overcome	2
pre2018	1009	note	2
pre2018	1010	shimadzu	2
pre2018	1011	-a	2
pre2018	1012	cmax	2
pre2018	1013	ci	2
pre2018	1014	assume	2
pre2018	1015	quantify	2
post2018	1	j	165
post2018	2	lesion	162
post2018	3	dentin	130
post2018	4	use	113
post2018	5	show	112
post2018	6	stress	108
post2018	7	adhesive	107
post2018	8	composite	99
post2018	9	cell	95
post2018	10	material	95
post2018	11	shear	94
post2018	12	study	85
post2018	13	group	84
post2018	14	test	83
post2018	15	resin	80
post2018	16	dental	80
post2018	17	dry	79
post2018	18	surface	77
post2018	19	tooth	77
post2018	20	oct	76
post2018	21	fig	75
post2018	22	light	73
post2018	23	property	69
post2018	24	c3s	68
post2018	25	condition	66
post2018	26	bond	65
post2018	27	dent_mater	63
post2018	28	delay	63
post2018	29	value	63
post2018	30	high	62
post2018	31	si	62
post2018	32	wet	60
post2018	33	bond_strength	60
post2018	34	depth	60
post2018	35	root_carie	57
post2018	36	pulp	55
post2018	37	strength	55
post2018	38	dent	54
post2018	39	b	54
post2018	40	c	53
post2018	41	image	53
post2018	42	h	51
post2018	43	vitro	51
post2018	44	restoration	51
post2018	45	time	49
post2018	46	mechanical	48
post2018	47	mm	46
post2018	48	result	46
post2018	49	increase	46
post2018	50	may	42
post2018	51	c2s	42
post2018	52	base	41
post2018	53	mineral	40
post2018	54	effect	40
post2018	55	37(6	39
post2018	56	interface	38
post2018	57	carie	38
post2018	58	testing	38
post2018	59	different	37
post2018	60	glass	37
post2018	61	alp	37
post2018	62	optical	37
post2018	63	mpa	35
post2018	64	extract	35
post2018	65	tantalum	35
post2018	66	human	35
post2018	67	load	35
post2018	68	p<0.05	34
post2018	69	activation	34
post2018	70	analysis	34
post2018	71	reaction	34
post2018	72	also	33
post2018	73	distribution	33
post2018	74	sample	33
post2018	75	demineralization	33
post2018	76	microhardness	32
post2018	77	cement	32
post2018	78	layer	32
post2018	79	however	32
post2018	80	expression	31
post2018	81	min	31
post2018	82	ta2o5	31
post2018	83	measure	30
post2018	84	specimen	30
post2018	85	crosshead	30
post2018	86	ch	29
post2018	87	cure	29
post2018	88	acid	29
post2018	89	difference	29
post2018	90	boundary	29
post2018	91	area	29
post2018	92	force	28
post2018	93	distance	28
post2018	94	peak	28
post2018	95	tensile	28
post2018	96	tissue	28
post2018	97	cylindrical	28
post2018	98	decrease	27
post2018	99	compare	27
post2018	100	significantly	27
post2018	101	particle	26
post2018	102	low	26
post2018	103	protein	26
post2018	104	formation	25
